"","Builder","Pair","Model","Rater","RaterAge","RaterGender","RaterEduYears","RaterEduArea","RaterEnglishSkills","ConceptAttributed","Clarity","Originality","Condition","Order","Concept","Accuracy","BuilderAgeYears","BuilderEduArea","BuilderEduYears","BuilderBaseRapport","BuilderEQ","BuilderSQ","BuilderIndividualEnjoyment","BuilderCollectiveEnjoyment","BuilderIndividualClarity","BuilderCollectiveClarity","BuilderIndividualCreativity","BuilderCollectiveCreativity","CoBuilderEQ","CoBuilderSQ","BuilderCollectiveEQ","BuilderCollectiveSQ","BuilderGender"
"1",1,22,"16",96,32,"Female",19,"Humanities",4,"Fairness",1,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"2",1,22,"16",58,21,"Female",15,"Humanities",5,"Knowledge",4,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"3",1,22,"16",57,32,"Female",19,"Humanities",4,"Knowledge",4,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"4",1,22,"16",22,26,"Female",19,"Humanities",6,"Knowledge",1,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"5",1,22,"16",56,57,"Male",16,"Humanities",4,"",2,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"6",1,22,"16",86,30,"Male",14,"Technology",6,"Responsibility",2,3,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"7",1,22,"16",55,25,"Male",17,"Humanities",6,"Knowledge",6,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"8",1,22,"16",84,24,"Male",18,"Humanities",6,"Knowledge",6,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"9",1,22,"16",89,24,"Female",17,"Humanities",6,"Knowledge",2,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"10",1,22,"16",98,24,"Male",18,"Humanities",5,"Knowledge",3,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"11",1,22,"16",14,23,"Male",16,"Humanities",5,"Trust",4,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"12",1,22,"16",5,38,"Female",21,"Natural Sciences",6,"Knowledge",1,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"13",1,22,"16",2,18,"Male",13,"Technology",6,"Responsibility",3,5,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"14",1,22,"16",87,22,"Male",13,"Health",6,"Knowledge",4,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"15",1,22,"16",61,28,"Male",19,"Humanities",5,"Knowledge",3,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"16",1,22,"16",72,35,"Male",16,"Social Sciences",5,"",NA,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"17",1,22,"16",1,52,"Male",45,"Technology",6,"Knowledge",2,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"18",1,22,"16",59,24,"Female",16,"Health",5,"Knowledge",6,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"19",1,22,"16",81,15,"Male",11,"Technology",6,"Knowledge",6,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"20",1,22,"16",23,25,"Female",17,"Humanities",6,"Knowledge",1,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"21",1,22,"16",83,22,"Male",14.5,"Humanities",6,"Fairness",4,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"22",1,22,"16",106,28,"Male",15,"Humanities",5,"Knowledge",2,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"23",1,22,"16",70,27,"Male",20,"Technology",5,"Knowledge",5,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"24",1,22,"16",95,25,"Female",19,"Humanities",5,"Knowledge",2,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"25",1,22,"16",47,28,"Female",20,"Humanities",6,"Knowledge",3,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"26",1,22,"16",92,18,"Male",15,"IT",3,"Responsibility",3,4,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"27",1,22,"16",25,22,"Male",18,"Health",5,"Knowledge",4,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"28",1,22,"16",44,42,"Male",14,"Technology",3,"Knowledge",2,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"29",1,22,"16",12,25,"Female",18,"Humanities",6,"Knowledge",5,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"30",1,22,"16",88,58,"Male",23,"Health",4,"Knowledge",1,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"31",1,22,"16",30,28,"Female",22,"Humanities",5,"Knowledge",2,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"32",1,22,"16",54,21,"Male",13,"Humanities",5,"Knowledge",5,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"33",1,22,"16",67,41,"Female",41,"Natural Sciences",6,"Knowledge",4,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"34",1,22,"16",20,24,"Male",17,"Technology",5,"Knowledge",4,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"35",1,22,"16",53,26,"Female",21,"Humanities",5,"Knowledge",2,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"36",1,22,"16",13,27,"Female",19,"Journalism",6,"",NA,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"37",1,22,"16",3,27,"Female",19,"Humanities",4,"Responsibility",1,5,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"38",1,22,"16",29,25,"Male",12,"Technology",3,"Responsibility",5,5,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"39",1,22,"16",8,26,"Female",14,"High School",4,"Fairness",5,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"40",1,22,"16",75,28,"Male",25,"Humanities",5,"Knowledge",6,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"41",1,22,"16",78,54,"Female",21,"Humanities",5,"Knowledge",3,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"42",1,22,"16",64,33,"Female",16,"Health",6,"Knowledge",6,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"43",1,22,"16",11,19,"Female",14,"Natural Sciences",4,"Knowledge",3,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"44",1,22,"16",107,22,"Female",16,"Natural Sciences",5,"Knowledge",1,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"45",1,22,"16",94,28,"Female",18,"Social Sciences",5,"",5,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"46",1,22,"16",108,24,"Male",17,"Technology",5,"Knowledge",2,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"47",1,22,"16",80,27,"Female",16,"Humanities",6,"Knowledge",1,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"48",1,22,"16",28,25,"Male",15,"Natural Sciences",5,"",NA,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"49",1,22,"16",62,25,"Male",19,"Technology",4,"Knowledge",6,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"50",1,22,"16",32,22,"Male",NA,"Technology",5,"Trust",4,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"51",1,22,"16",19,24,"Female",16,"Humanities",5,"Knowledge",3,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"52",1,22,"16",17,24,"Female",16.5,"Social Sciences",4,"Knowledge",4,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"53",1,22,"16",31,23,"Male",15,"Social Sciences",5,"Knowledge",2,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"54",1,22,"16",36,25,"Other",16,"Humanities",5,"Responsibility",3,4,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"55",1,22,"16",50,23,"Female",16,"Social Sciences",5,"Knowledge",5,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"56",1,22,"16",43,28,"Male",14,"Health",6,"Knowledge",6,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"57",1,22,"16",105,29,"Male",20,"Humanities",5,"Knowledge",6,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"58",1,22,"16",76,45,"Female",12,"Technology",4,"Trust",4,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
